n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
111,7,0.014027218737526714,0.5481245073489522,0.0006158491195001526,91,randomize,25.56756756756757,0.11621621621621622,0.13220646251810791,2.0864045864045866,711.8198198198198,ba,0.43243243243243246,28,beta
186,2,0.11512339103268462,0.7050328006041182,0.0005065405264979589,68,randomize,7.881720430107527,0.021301947108398722,0.021980752007208604,0.0,74.13978494623656,ba,0.3817204301075269,90,beta
151,8,0.13686198645099895,0.16153186335641678,0.0005935702087463588,25,randomize,29.933774834437084,0.09977924944812362,0.15989045548292832,2.104326710816777,1154.450331125828,ba,0.41721854304635764,58,beta
31,5,0.11828914970082985,0.5249385475788385,0.000613986298602376,77,randomize,15.548387096774194,0.2591397849462366,0.29471567911893953,1.8129032258064517,268.3225806451613,ba,0.0,7,beta
196,9,0.16828525009706735,0.503471160124739,0.00014396280795412125,31,randomize,33.795918367346935,0.08665620094191523,0.1014473026399467,2.1336734693877553,1270.3469387755101,ba,0.37244897959183676,58,beta
125,10,0.015085147076734445,0.07296549875485392,0.0002947625444972761,37,randomize,36.384,0.14670967741935484,0.2040089455763951,1.9258709677419354,1642.832,ba,0.688,59,beta
88,4,0.12119528299671456,0.7493536591391343,0.0008967537379281257,37,randomize,14.886363636363637,0.08555381400208986,0.09073817655007342,2.4417450365726228,241.25,ba,0.6136363636363636,61,beta
165,4,0.06400901986805149,0.4319493092107439,0.000549110898540952,60,randomize,15.418181818181818,0.04700665188470066,0.06545180984292183,2.670288248337029,304.6787878787879,ba,0.42424242424242425,69,beta
41,4,0.22139631719212285,0.8875885438772259,0.0005760025071601211,60,randomize,14.146341463414634,0.17682926829268292,0.17456135147708798,2.0768292682926828,211.41463414634146,ba,0.21951219512195122,44,beta
36,2,0.0501080164384384,0.7786427053796761,0.0006136273476827961,15,randomize,7.444444444444445,0.10634920634920635,0.12090149463402144,0.0,65.38888888888889,ba,0.4444444444444444,96,beta
35,4,0.22674981582143713,0.9317396268164232,0.0009980038023348241,25,randomize,14.057142857142857,0.20672268907563024,0.1996236071507449,1.9663865546218486,206.0,ba,0.45714285714285713,71,beta
63,2,0.20261187207669581,0.7310552057743263,0.0005613738376812233,10,randomize,7.587301587301587,0.061187916026625704,0.07349273737966093,0.0,66.47619047619048,ba,0.19047619047619047,153,beta
