n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
165,7,0.1563324782520459,0.2284098408536887,0.000655163190623,89,randomize,26.509090909090908,0.080820399113082,0.1322921390606352,2.209940872135994,923.4666666666668,ba,0.9818181818181818,6682,bayes
39,7,0.1665713182359691,0.8602604974425122,0.0007233884673218,23,randomize,21.743589743589745,0.2860998650472334,0.2954307910521769,1.7415654520917678,490.3589743589744,ba,0.9487179487179488,10000,bayes
137,4,0.2397833707706729,0.7121122313590642,0.0007977488440222,80,randomize,15.284671532846716,0.0561936453413482,0.0576412770315289,2.618505796479176,254.7737226277372,ba,0.9927007299270072,7981,bayes
182,9,0.1801595689851819,0.0712540211327247,0.000902765966926,91,randomize,33.97802197802198,0.0938619391658065,0.155472762419897,2.09950822658005,1538.7362637362637,ba,1.0,2922,bayes
175,7,0.1312188809702088,0.0648910152216833,0.0004957439421161,65,randomize,26.765714285714285,0.0769129720853858,0.1337369339879796,2.2376683087027915,967.0971428571428,ba,0.9485714285714286,10000,bayes
154,9,0.0403356934548857,0.0153801625491791,0.000463940213157,94,randomize,33.84415584415584,0.1106018164841694,0.2013570879097222,2.026695526695527,1572.12987012987,ba,0.9935064935064936,6964,bayes
45,8,0.0185941669643464,0.4664856251737109,0.0006567514255662,61,randomize,24.53333333333333,0.2787878787878788,0.3007658611032293,1.744949494949495,645.4222222222222,ba,1.0,6707,bayes
64,8,0.1276979792949817,0.250751183822932,0.0005992562135858,88,randomize,26.90625,0.2135416666666666,0.2600290392680515,1.8293650793650795,827.59375,ba,1.0,3459,bayes
46,7,0.2000750710452145,0.7666616467070683,0.0001514245191152,62,randomize,22.30434782608696,0.2478260869565217,0.2445352130413767,1.8077294685990335,511.0,ba,0.6086956521739131,10000,bayes
124,4,0.0429501380514932,0.7465550407471625,0.0002758164842606,10,randomize,15.338709677419354,0.0623524783634933,0.0624571184432205,2.579727248885392,252.24193548387095,ba,0.5,10000,bayes
111,9,0.0211396513031938,0.56768937309984,0.00036400328356,41,randomize,31.92792792792793,0.1451269451269451,0.1604330124503978,1.9524160524160523,1091.6396396396397,ba,0.90990990990991,10000,bayes
57,9,0.0437083648479943,0.5253026863100001,0.000761001608727,74,randomize,28.210526315789476,0.2518796992481203,0.2846883127594768,1.7728696741854637,860.280701754386,ba,1.0,3465,bayes
76,3,0.1800441953266466,0.6700207198260649,0.0005475834772964,20,randomize,11.289473684210526,0.0752631578947368,0.082435223342617,0.0,141.55263157894737,ba,0.7631578947368421,10000,bayes
112,4,0.0654086954873957,0.459360615937102,0.0005993124179659,45,randomize,15.196428571428571,0.0684523809523809,0.1011267204194259,2.51463963963964,287.32142857142856,ba,0.9732142857142856,10000,bayes
22,10,0.2300336553567107,0.588332796412156,0.0007517551875961,98,randomize,18.363636363636363,0.4372294372294372,0.4450056819723165,1.567099567099567,346.0,ba,0.9090909090909092,3072,bayes
32,10,0.1375558914083873,0.9552777246462228,0.0003498431238402,18,randomize,27.125,0.4375,0.4333064556726557,1.5625,749.0,ba,0.34375,10000,bayes
56,9,0.1196923752160373,0.0754638078222402,0.0008097921978914,20,randomize,29.428571428571427,0.2675324675324675,0.3445135097839024,1.7538961038961038,1011.7857142857144,ba,1.0,7252,bayes
83,4,0.0014036439797585,0.7458471697693897,0.0001609978034228,32,randomize,3.6626506024096384,0.0223332353805465,0.0226893922677055,0.0,19.80722891566265,sf,0.5060240963855421,106,bayes
171,9,0.0593393087656697,0.6146780962973643,0.000717983021475,11,randomize,3.017543859649123,0.008875128998968,0.0268902102751431,0.0,20.71345029239766,sf,0.52046783625731,10000,bayes
74,7,0.2320550302634619,0.1039997461728432,0.0003656544331528,31,randomize,2.8378378378378377,0.0194372454646427,0.0939659439659439,0.0,38.729729729729726,sf,0.4324324324324324,8334,bayes
138,4,0.1261441195994397,0.686752086518164,0.0003372656278707,92,randomize,3.231884057971014,0.011795197291865,0.0124352382933618,0.0,18.92753623188406,sf,0.5942028985507246,10000,bayes
95,7,0.2479301396146027,0.4378810912646195,0.0001388616102691,23,randomize,3.3263157894736843,0.0176931690929451,0.0535863484076366,0.0,22.105263157894736,sf,0.4736842105263157,20,bayes
33,8,0.0292976361571172,0.8138437322589713,0.0003087394013693,78,randomize,3.272727272727273,0.0511363636363636,0.0305194805194805,0.0,13.454545454545457,sf,0.4848484848484848,10000,bayes
45,8,0.2248500402238093,0.5984513560937256,0.0007469730275583,22,randomize,2.933333333333333,0.0333333333333333,0.0252421652421652,0.0,13.11111111111111,sf,0.6,10000,bayes
154,5,0.1052835041425626,0.6358652372580413,0.0006097296459525,87,randomize,3.5584415584415585,0.0116288939818351,0.0268602275620992,0.0,21.20779220779221,sf,0.6688311688311688,10000,bayes
25,2,0.0658989992369128,0.5046556631443805,0.0007655581772002,20,randomize,2.56,0.0533333333333333,0.0879487179487179,0.0,12.96,sf,0.52,431,bayes
27,9,0.0633969563276043,0.6537583709623891,0.0006465359782422,81,randomize,2.5185185185185186,0.0484330484330484,0.0128600823045267,0.0,10.074074074074074,sf,0.5185185185185185,3050,bayes
184,10,0.1440282295548229,0.0809776386452034,0.0005394417375525,60,randomize,3.0760869565217392,0.0084046091708244,0.1432791729969112,0.0,71.22826086956522,sf,0.5597826086956522,10000,bayes
29,6,0.2401062247084098,0.8879996482595846,0.0001434972856103,18,randomize,3.2413793103448274,0.0578817733990147,0.0304460864805692,0.0,14.344827586206897,sf,0.5172413793103449,1,bayes
135,7,0.2380799267054717,0.8046571576258863,0.0008307308034372,82,randomize,3.037037037037037,0.0113322277501381,0.0130262475360514,0.0,13.362962962962962,sf,0.8,10000,bayes
183,7,0.2102073449796423,0.5711141653203519,0.0002536156467043,80,randomize,3.180327868852459,0.0087371644748693,0.0267474926942718,0.0,26.08743169398907,sf,0.4590163934426229,10000,bayes
85,8,0.0541468849250409,0.2041825885645871,0.0005315929094676,20,randomize,2.988235294117647,0.0177871148459383,0.0662560048443715,0.0,30.988235294117647,sf,0.5058823529411764,10000,bayes
54,5,0.0484745912396671,0.7370785277156,0.0004359572105304,51,randomize,2.703703703703704,0.0255066387141858,0.0737948265726043,0.0,12.925925925925926,sf,0.5185185185185185,10000,bayes
87,3,0.1748114362889485,0.7945996448273512,0.0005258900808884,51,randomize,3.3793103448275863,0.0196471531676022,0.0324474057232677,0.0,16.04597701149425,sf,0.4712643678160919,10000,bayes
