n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,true_consensus_alternative_stop,choice_consensus,convergence_step,agent_type
365,0.4456457465992071,0.007906577636567817,504,hierarchical,4.346689400397841,0.2608695652173913,False,0.2608695652173913,200,beta
396,0.3873340579782045,0.0023145975371107706,783,hierarchical,4.346689400397841,0.15004262574595056,False,0.15004262574595056,200,beta
185,0.7651412712397809,0.004160584676319397,168,hierarchical,4.346689400397841,0.13071895424836602,False,0.13071895424836602,200,beta
183,0.03991498770599644,0.0032320126427372964,614,hierarchical,4.346689400397841,0.17306052855924978,False,0.17306052855924978,200,beta
292,0.7506690426671292,0.0075329603617851895,180,hierarchical,4.346689400397841,0.19153168513782323,False,0.19153168513782323,200,beta
133,0.7856402123942807,0.001845859175101887,803,hierarchical,4.346689400397841,0.14151747655583974,False,0.14151747655583974,200,beta
350,0.12309308478220116,0.0031284130190800293,611,hierarchical,4.346689400397841,0.1656720659278204,False,0.16538789428815004,200,beta
189,0.01029421691341792,0.004205678839849682,198,hierarchical,4.346689400397841,0.1540210287013356,False,0.1540210287013356,200,beta
183,0.3004044209758211,0.007062823281852363,192,hierarchical,4.346689400397841,0.20034100596760443,False,0.20034100596760443,200,beta
216,0.29046817015518844,0.003495804180899877,971,hierarchical,4.346689400397841,0.21568627450980393,False,0.21568627450980393,200,beta
291,0.7901452917232431,0.009324292342616367,946,hierarchical,4.346689400397841,0.3333333333333333,False,0.3333333333333333,200,beta
256,0.3045035888214662,0.002851019302305643,954,hierarchical,4.346689400397841,0.17533390167661267,False,0.17533390167661267,200,beta
212,0.8750671146361008,0.005578979946960589,844,hierarchical,4.346689400397841,0.27223643080420573,False,0.27223643080420573,200,beta
149,0.011871811474030713,0.0057326209453675,981,hierarchical,4.346689400397841,0.27593066211992046,False,0.27593066211992046,200,beta
405,0.04118001287769202,0.0036938770814246243,728,hierarchical,4.346689400397841,0.19749928957090082,False,0.19749928957090082,200,beta
135,0.591278510862128,0.007033972898881289,44,hierarchical,4.346689400397841,0.11736288718385905,False,0.1170787155441887,200,beta
164,0.6465709793482931,0.0013738679571273214,798,hierarchical,4.346689400397841,0.10400682011935208,False,0.10372264847968173,200,beta
264,0.27921094629029575,0.009758614567528408,570,hierarchical,4.346689400397841,0.3188405797101449,False,0.3188405797101449,200,beta
418,0.684955604528241,0.0017990458685715935,586,hierarchical,4.346689400397841,0.12333049161693663,False,0.12247797669792555,200,beta
372,0.4980999815016006,0.0037071793960142046,814,hierarchical,4.346689400397841,0.18982665529980108,False,0.18982665529980108,200,beta
348,0.8160140566123106,0.0032794439912343484,297,hierarchical,4.346689400397841,0.14492753623188406,False,0.1446433645922137,200,beta
100,0.455475928909296,0.0011375804352697942,385,hierarchical,4.346689400397841,0.0915032679738562,False,0.0915032679738562,200,beta
101,0.5207944636744241,0.00834099405957986,336,hierarchical,4.346689400397841,0.24722932651321397,False,0.24722932651321397,200,beta
245,0.47934786157089704,0.009861196255636178,223,hierarchical,4.346689400397841,0.2435350951974993,False,0.2435350951974993,200,beta
324,0.21621830662038566,0.00951221371649925,493,hierarchical,4.346689400397841,0.2892867291844274,False,0.2892867291844274,200,beta
443,0.2969012888334004,0.002417969423954472,820,hierarchical,4.346689400397841,0.151179312304632,False,0.15089514066496162,200,beta
103,0.6403328385738635,0.005977141479211306,1000,hierarchical,4.346689400397841,0.2847399829497016,False,0.2847399829497016,200,beta
341,0.2064291991440167,0.005211051950090045,898,hierarchical,4.346689400397841,0.25859619210002843,False,0.25859619210002843,200,beta
376,0.718455430915024,0.006050001844770721,159,hierarchical,4.346689400397841,0.1665245808468315,False,0.1665245808468315,200,beta
310,0.6024130742890313,0.00947181804969472,15,hierarchical,4.346689400397841,0.09860755896561524,False,0.09917590224495595,200,beta
65,0.5387822316429647,0.0027423879867021763,513,hierarchical,4.346689400397841,0.15288434214265417,False,0.15288434214265417,200,beta
72,0.6248998282651811,0.006339256467818371,820,hierarchical,4.346689400397841,0.26882637112816143,False,0.26882637112816143,200,beta
297,0.5997691012069494,0.0026551551855657418,192,hierarchical,4.346689400397841,0.11906791702188121,False,0.11906791702188121,200,beta
125,0.5200010954874666,0.005013353643040375,265,hierarchical,4.346689400397841,0.17533390167661267,False,0.17533390167661267,200,beta
303,0.4522636374378646,0.006613264628708365,57,hierarchical,4.346689400397841,0.12361466325660699,False,0.12333049161693663,200,beta
426,0.2812677109131342,0.0074835894591860404,743,hierarchical,4.346689400397841,0.2929809605001421,False,0.2929809605001421,200,beta
490,0.8786581348696269,0.00297822739907876,498,hierarchical,4.346689400397841,0.15373685706166523,False,0.15373685706166523,200,beta
443,0.7476372310120545,0.002668822856698978,739,hierarchical,4.346689400397841,0.17135549872122763,False,0.17135549872122763,200,beta
405,0.8788438886482137,0.006461496146125098,196,hierarchical,4.346689400397841,0.17391304347826086,False,0.17391304347826086,200,beta
160,0.6062040821202058,0.005559830537695251,702,hierarchical,4.346689400397841,0.24609263995453254,False,0.24609263995453254,200,beta
171,0.7842893121723848,0.007736469050387159,603,hierarchical,4.346689400397841,0.2770673486786019,False,0.2770673486786019,200,beta
167,0.7217347303787329,0.008098707305580485,856,hierarchical,4.346689400397841,0.3140096618357488,False,0.3140096618357488,200,beta
245,0.5573942010083172,0.008039100113634082,527,hierarchical,4.346689400397841,0.27337311736288716,False,0.27337311736288716,200,beta
