n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.5206149829967263,0.0068457037732312,7027,randomize,11.76948044646672,0.976897071280256,16,bayes
133403,0.2513519797434693,0.0247052400282338,4059,randomize,11.76957039946628,0.8857971709781639,9,bayes
133403,0.883706846642301,0.0138164451567132,8127,randomize,11.769585391632871,0.9975337885954588,5,bayes
133403,0.7744985137425872,0.0043002421974138,6326,randomize,11.7695254229665,0.9945128670269784,39,bayes
133403,0.9207094913861535,0.0207982680494837,8337,randomize,11.76963036813265,0.9979235849268756,4,bayes
133403,0.2557395318856736,0.0022250104798816,1806,randomize,11.769465454300128,0.84511592692818,612,bayes
133403,0.967485499392893,0.0185495120289079,9269,randomize,11.769645360299243,0.9985007833407044,4,bayes
133403,0.1362348594396454,0.0092735226513551,3862,randomize,11.76957039946628,0.7590159141848384,17,bayes
133403,0.8163268934951546,0.0144874905740287,1229,randomize,11.76957039946628,0.9964468565174696,15,bayes
133403,0.0745504449978398,0.0102285094329732,7667,randomize,11.769600383799466,0.6826008410605459,9,bayes
133403,0.6031492362540003,0.0096824360988792,9451,randomize,11.769510430799906,0.986626987399084,7,bayes
133403,0.8702337848127899,0.0142147625922469,2016,randomize,11.769585391632871,0.9971889687638208,12,bayes
133403,0.094738888529088,0.0169868784562883,4893,randomize,11.76957039946628,0.7202386752921598,7,bayes
133403,0.2628847502944317,0.0169049501153887,4364,randomize,11.769510430799906,0.8940353665209928,8,bayes
133403,0.4796025211327801,0.0230284907718106,5368,randomize,11.769555407299686,0.9728042098003792,6,bayes
133403,0.8943766779040038,0.0058937862936623,2230,randomize,11.769615375966058,0.9972564335134892,41,bayes
133403,0.2944622724813034,0.0146049482409656,4778,randomize,11.769465454300128,0.914334760087854,9,bayes
133403,0.8749093761139116,0.0049539496224908,1705,randomize,11.769600383799466,0.9969116136818512,75,bayes
133403,0.6797246996612765,0.0234640406599269,8542,randomize,11.76948044646672,0.9923464989542964,5,bayes
133403,0.1075083050344677,0.0040216850514982,4817,randomize,11.769585391632871,0.6779082929169509,80,bayes
133403,0.9801872926078254,0.0209433511461279,2896,randomize,11.769645360299243,0.9986282167567446,6,bayes
133403,0.1349838034783618,0.0187900505424988,2290,randomize,11.769585391632871,0.7689407284693748,11,bayes
133403,0.2311756340653175,0.0165591100846864,1936,randomize,11.769510430799906,0.8668995449877439,14,bayes
133403,0.7353884870072359,0.0194721529217583,9027,randomize,11.76957039946628,0.9942205197784156,6,bayes
