n_agents,ba_degree,er_prob,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,density,avg_clustering,avg_short_path_lenght,degree_variance,network_type,true_consensus,convergence_step,agent_type
29,10,0.03663636969969544,0.6781947817265034,0.000859431497181739,53,randomize,23.379310344827587,0.41748768472906406,0.4198439727856613,1.5862068965517242,563.448275862069,ba,0.3103448275862069,24,beta
156,8,0.028095257574824478,0.9397819489421366,0.0001837863793460805,57,randomize,30.23076923076923,0.09751861042183622,0.097683755223329,2.1140198511166255,940.8717948717949,ba,0.5641025641025641,44,beta
141,8,0.10741473353878589,0.9175336890826314,0.0009101441860416496,54,randomize,29.97163120567376,0.10704154002026342,0.106385827548629,2.0685916919959473,920.7092198581561,ba,0.3262411347517731,54,beta
141,2,0.009247691550905018,0.12969567063870613,0.0007230413651621155,59,randomize,7.872340425531915,0.02811550151975684,0.08435895770173646,0.0,118.26950354609929,ba,0.41134751773049644,112,beta
161,9,0.025666849673725928,0.2666417902415943,0.00023427313463471983,32,randomize,33.391304347826086,0.10434782608695652,0.14301485720764598,2.066226708074534,1348.6832298136646,ba,0.7888198757763976,68,beta
188,5,0.24527372280893414,0.31251790636604115,0.0007106589738096019,30,randomize,19.23404255319149,0.051427921265217884,0.08032865030747383,2.5101262942314255,490.0531914893617,ba,0.6436170212765957,105,beta
103,3,0.0968096330903899,0.5957409997251356,0.0009681194407142502,12,randomize,11.533980582524272,0.05653912050256996,0.0698675984440088,2.799162383399962,152.79611650485438,ba,0.49514563106796117,141,beta
163,10,0.10244573056256048,0.3437197241570058,0.0006076676138168889,12,randomize,36.441717791411044,0.11247443762781185,0.14739034430737014,2.018707869423616,1556.9447852760736,ba,0.588957055214724,91,beta
195,6,0.06399139347986066,0.1846196439506156,0.00040878429238422207,53,randomize,3.169230769230769,0.00816812053925456,0.0687794809583752,0.0,66.34871794871795,sf,0.5384615384615384,61,beta
152,8,0.1683256740582814,0.27008442112428455,0.00022393079750719045,31,randomize,3.1842105263157894,0.01054374346462182,0.10037752067873636,0.0,52.63157894736842,sf,0.11842105263157894,73,beta
76,2,0.13478521624963802,0.7412409103913847,0.00039966920749772415,60,randomize,2.9210526315789473,0.019473684210526317,0.013932558669400776,0.0,13.973684210526315,sf,0.2631578947368421,68,beta
158,2,0.10364510733062604,0.0704097067807351,0.0008084548062942798,77,randomize,3.0632911392405062,0.009755704265097155,0.10509334675091818,0.0,63.08860759493671,sf,0.10126582278481013,46,beta
17,7,0.08938624847369861,0.5546604481743229,0.00025812814017815055,100,randomize,2.3529411764705883,0.07352941176470588,0.13165266106442577,0.0,8.588235294117647,sf,0.11764705882352941,13,beta
156,2,0.008729697419351368,0.01901895736830106,0.0009174405574915517,17,randomize,3.128205128205128,0.010090984284532672,0.09098353249071665,0.0,46.30769230769231,sf,0.3525641025641026,170,beta
117,2,0.11744943273405259,0.06387290549836899,0.00010344599853045881,74,randomize,3.0598290598290596,0.013188918361332154,0.06730306255847014,0.0,40.44444444444444,sf,0.1452991452991453,59,beta
109,7,0.0069231001996135355,0.21382637377342661,0.0007747735564952223,29,randomize,2.8807339449541285,0.013336731226639484,0.0734711361751457,0.0,42.20183486238532,sf,0.045871559633027525,61,beta
125,5,0.17870732452606264,0.3676332258183389,0.0008478512662522008,75,randomize,3.184,0.012838709677419355,0.031818148855825526,0.0,25.28,sf,0.288,62,beta
95,7,0.16471019792646097,0.11351805359269929,0.0004516667808442797,22,randomize,2.9263157894736844,0.015565509518477044,0.10707069335798061,0.0,44.48421052631579,sf,0.042105263157894736,53,beta
158,3,0.22812686190707462,0.8409392178119415,0.0001070986899482267,44,randomize,2.911392405063291,0.009271950334596468,0.0059624271649588115,0.0,11.60759493670886,sf,0.1962025316455696,109,beta
75,3,0.2210449493112632,0.8787554090426399,0.0006897852458438085,15,randomize,3.12,0.02108108108108108,0.01875661375661376,0.0,13.333333333333334,sf,0.0,7,beta
185,10,0.22551584508033504,0.8714609900395677,0.0002753180692298468,22,randomize,3.6,0.009782608695652175,0.008206388206388207,0.0,17.956756756756757,sf,0.15675675675675677,122,beta
35,3,0.11514144219619832,0.48954683325592663,0.00043322232757542423,72,randomize,2.9714285714285715,0.043697478991596636,0.04693107431651906,0.0,15.542857142857143,sf,0.22857142857142856,39,beta
143,9,0.08892440583165956,0.9702180327657619,0.00048534613237501703,22,randomize,3.230769230769231,0.011375947995666305,0.008957708957708959,0.0,13.51048951048951,sf,0.1048951048951049,114,beta
150,4,0.027161187747542087,0.8590416358487194,0.00015958083768659803,37,randomize,2.9466666666666668,0.00988814317673378,0.014232804232804229,0.0,11.893333333333333,sf,0.18666666666666668,121,beta
186,4,0.13488885551520588,0.5905550529717742,0.00016930041851695725,47,randomize,2.913978494623656,0.007875617553036908,0.027279256157131584,0.0,24.913978494623656,sf,0.16666666666666666,58,beta
184,10,0.03365203231892688,0.2749068196524337,0.0008306063413895098,19,randomize,3.119565217391304,0.008523402233309574,0.06565086811892044,0.0,51.17391304347826,sf,0.08695652173913043,92,beta
125,10,0.0978788346345851,0.8086500569937982,0.0005655824742266378,49,randomize,3.52,0.014193548387096775,0.01853724053724054,0.0,18.992,sf,0.248,107,beta
52,2,0.016042243901139647,0.15266114598400982,0.0007810640277191641,16,randomize,2.8846153846153846,0.02828054298642534,0.06974067599067599,0.0,22.692307692307693,sf,0.25,64,beta
176,4,0.225121383145611,0.17116771305883682,0.00021061201476425134,25,randomize,3.147727272727273,0.008993506493506493,0.06721598374193258,0.0,58.06818181818182,sf,0.4147727272727273,104,beta
175,7,0.08028829663318163,0.563051268349368,0.0008241868510525752,97,randomize,3.0285714285714285,0.008702791461412151,0.019383153261304523,0.0,21.017142857142858,sf,0.38285714285714284,98,beta
169,5,0.24902416597076965,0.6586233406432521,0.0006295379119925085,45,randomize,3.3136094674556213,0.009861932938856016,0.0208605921906399,0.0,22.071005917159763,sf,0.13609467455621302,60,beta
59,5,0.033759832062297546,0.7320428100466879,0.00044530815058149204,72,randomize,2.7796610169491527,0.02396259497369959,0.006994888350820553,0.0,12.372881355932204,sf,0.05084745762711865,23,beta
79,4,0.04486832449501954,0.7962412231058493,0.0009268549421225003,52,randomize,2.9873417721518987,0.019149626744563452,0.030533179900268503,0.0,13.037974683544304,sf,0.13924050632911392,50,beta
114,6,0.08313273840512919,0.34714509805767735,0.00020972474092178622,95,randomize,3.3508771929824563,0.014826890234435647,0.06911615468807507,0.0,34.578947368421055,sf,0.043859649122807015,42,beta
137,8,0.18259522842406226,0.4951086918506159,0.0009321674122526072,49,randomize,3.0948905109489053,0.011378273937312151,0.02360460005283596,0.0,21.883211678832115,sf,0.051094890510948905,45,beta
160,3,0.07997671385524993,0.2028394122316194,0.00033997827967404825,28,randomize,3.3,0.010377358490566037,0.10204857507017447,0.0,58.6,sf,0.00625,33,beta
109,7,0.14218573797296552,0.7403210887301507,0.0006193043029343475,46,randomize,2.8623853211009176,0.013251783893985729,0.013389695001182837,0.0,14.385321100917432,sf,0.08256880733944955,71,beta
92,4,0.07300790306036575,0.453281275460376,0.0003564628668168083,67,randomize,3.0,0.016483516483516484,0.037538638897334546,0.0,18.91304347826087,sf,0.05434782608695652,36,beta
14,10,0.0011779917756931657,0.5365684483532818,0.0005681194578471439,13,randomize,2.7142857142857144,0.1043956043956044,0.1544575725026853,0.0,12.714285714285714,sf,0.14285714285714285,29,beta
122,7,0.22343635623540584,0.8528280729924406,0.000987558370112294,66,randomize,2.9672131147540983,0.012261211217992143,0.008196721311475409,0.0,13.049180327868852,sf,0.1557377049180328,46,beta
59,7,0.1963355571840779,0.892472434888788,0.0007059902074520076,17,randomize,3.016949152542373,0.026008182349503216,0.021771589991928977,0.0,12.338983050847459,sf,0.23728813559322035,108,beta
195,4,0.093064060363232,0.43902177771908824,0.0008139579478756192,78,randomize,3.405128205128205,0.008776103621464446,0.03993451945358862,0.0,34.91282051282051,sf,0.05128205128205128,43,beta
184,7,0.04546194336226034,0.19699064292997148,0.0005645503523339975,53,randomize,3.369565217391304,0.009206462342599192,0.09727141612631299,0.0,71.56521739130434,sf,0.4076086956521739,99,beta
39,9,0.06839163317373234,0.8353255091251149,0.0005189727237639338,100,randomize,2.717948717948718,0.03576248313090418,0.016666666666666663,0.0,9.897435897435898,sf,0.2564102564102564,38,beta
